RandomSeed,Nr. Cluster,Eps,Linkage,Threshold,Max. Iter,Min Samples,ID,Dataset,Cluster,Time Taken (seg),Accuracy Score,Purity Score,Adjusted Rand Index,Jaccard Score
,,0.1,,,,0.1,104,Obesity,Optics,13.110806226730347,0.28327806726669824,0.2832780672666983,0.08476156609775072,0.16501103752759383
57,1.5,,,,150,,105,Obesity,K-means,0.0204470157623291,0.4921837991473235,0.4921837991473235,0.24201768997541745,0.3264216148287779
,1.5,0.5,,,,,106,Obesity,DBScan,0.032575130462646484,0.5130270014211274,0.5130270014211273,0.24400357635740444,0.34501433577572477
,1.5,,Complete,,,,107,Obesity,Agglomerative Clustering - Complete,0.09239053726196289,0.4386546660350545,0.4386546660350545,0.19380342265634995,0.2809466019417476
57,1.5,,,,,,108,Obesity,Spectral Clustering,0.8868610858917236,0.4760776882993842,0.4760776882993842,0.23781405119867488,0.31240285980727384
,1.5,,,0.5,,,109,Obesity,Birch,0.05963015556335449,0.4073898626243487,0.4073898626243486,0.17349573821601572,0.25580011897679955
,,,,,150,,110,Obesity,Mean Shift,83.04340171813965,0.17100900047370915,0.17100900047370915,0.0003267343962842248,0.0934990934990935
57,,,,,150,,111,Obesity,Affinity Propagation,14.094170331954956,0.6935101847465656,0.6935101847465656,0.4621544231276906,0.5308194343727338
,,0.5,,,,0.3,112,Obesity,Optics,14.0249764919281,0.1662719090478446,0.1662719090478446,0.0,0.09067424438129683
965,2,,,,300,,113,Obesity,K-means,0.016048669815063477,0.4936049265750829,0.4936049265750829,0.26601833983326334,0.32767295597484275
,2,1.0,,,,,114,Obesity,DBScan,0.0696408748626709,0.43439128375177644,0.4343912837517764,0.18527359157534398,0.27745839636913766
,2,,Average,,,,115,Obesity,Agglomerative Clustering - Average,0.08840012550354004,0.2752250118427286,0.2752250118427285,0.04953828089957662,0.15957154627849493
965,2,,,,,,116,Obesity,Spectral Clustering,0.9118015766143799,0.4864992894362861,0.4864992894362861,0.1980522560297427,0.3214397496087637
